iter	MAE
0	22962.60505
300	10506.07575
600	6953.320149
900	5432.997751
1200	4298.528656
1500	3700.330889
1800	3176.021217
2100	2698.14753
2400	2403.210807
2700	2133.290001
3000	1917.550597
3300	1731.510359
3600	1568.619672
3900	1451.335149
4200	1318.327002
4500	1246.327404
4800	1163.813694
5100	1091.628603
5400	1053.854219
5700	989.118209
6000	939.8542495
6300	882.6581758
6600	853.2033581
6900	816.9826294
7200	775.2046124
7500	752.1558289
7800	718.4080298
8100	685.3194636
8400	657.0205938
8700	611.2913979
9000	593.3057818
9300	565.2811941
9600	551.3106248
9900	520.4129341
10200	497.5160974
10500	446.478953
10800	424.6978177
11100	416.8095698
11400	396.9544877
11700	378.5038941
12000	359.0457905
12300	349.2475518
12600	342.776847
12900	327.7889029
13200	321.6141418
13500	302.2583155
13800	295.1703698
14100	286.9058663
14400	278.3490805
14700	275.4780323
15000	263.207183
15300	257.3419568
15600	255.8184094
15900	249.3893504
16200	244.3629324
16500	239.4533872
16800	235.690673
17100	232.4988424
17400	229.2281972
17700	225.2363429
18000	221.5889081
18300	219.4859693
18600	212.1430816
18900	208.7342543
19200	206.0497213
19500	203.1069586
19800	199.305231
20100	197.143962
20400	195.2559833
20700	193.6146592
21000	192.2943338
21300	191.1756405
21600	189.0931722
21900	183.0217337
22200	178.5621524
22500	173.8815084
22800	171.1179302
23100	166.0954165
23400	164.5678042
23700	163.9489408
24000	162.1485269
24300	161.329589
24600	160.7815185
24900	159.329743
25200	158.7644098
25500	154.6760379
25800	154.151936
26100	153.6760316
26400	153.2071622
26700	151.5263157
27000	150.8485579
27300	149.6146534
27600	145.4239586
27900	141.2260197
28200	140.9118817
28500	140.503472
28800	135.6024319
29100	131.9634202
29400	130.6145522
29700	129.1192713
30000	128.7670134
30300	128.0032559
30600	124.344429
30900	123.5635778
31200	123.3975454
31500	122.3883274
31800	121.9643211
32100	121.2132766
32400	120.5216059
32700	120.329873
33000	119.9162341
33300	116.8199181
33600	116.2335491
33900	112.9414378
34200	112.5376534
34500	112.2252033
34800	111.2414402
35100	111.1082002
35400	107.804163
35700	107.6410649
36000	107.3113354
36300	104.2993119
36600	101.3593887
36900	100.7996885
37200	100.3085898
37500	99.73223818
37800	99.29791597
38100	99.21268976
38400	99.14226459
38700	98.36837052
39000	89.74748452
39300	89.11105343
39600	84.6303008
39900	84.2924575
40200	84.21656157
40500	83.87135055
40800	83.25485287
41100	82.91646692
41400	82.46125979
41700	79.85386023
42000	79.58880255
42300	79.46546584
42600	78.82937507
42900	78.2317612
43200	78.1576276
43500	74.12549188
43800	73.82258551
44100	73.77511091
44400	71.85193503
44700	69.73521507
45000	69.48451994
45300	69.44947408
45600	64.21533207
45900	64.04675794
46200	63.1927715
46500	61.43713879
46800	61.03706554
47100	60.32311911
47400	57.09881456
47700	55.3958598
48000	53.75362502
48300	53.56662465
48600	53.52726953
48900	53.19400805
49200	51.71978342
49500	49.00939795
49800	48.98431642
50100	48.9688317
50400	48.69200901
50700	48.53063837
51000	48.37316122
51300	47.0950046
51600	45.71820594
51900	44.38768738
52200	43.20285429
52500	43.16284196
52800	43.14927246
53100	42.92905535
53400	42.78188333
53700	40.57828472
54000	40.55457146
54300	38.48926284
54600	36.54208112
54900	36.3926293
55200	36.37428948
